epoch,train_loss,val_loss,timestamp
1,1.5548562635639303,0.2508661936865085,2026-06-09 16:10:24
2,0.16158801332103181,0.13414355338318273,2026-06-09 16:14:49
3,0.08460860072734638,0.11977502074377197,2026-06-09 16:18:59
4,0.05725015928365167,0.093157053026112,2026-06-09 16:23:08
5,0.03919925351862227,0.09014752471961805,2026-06-09 16:27:17
6,0.03455910165265217,0.07989990239406729,2026-06-09 16:31:49
7,0.027032027490555166,0.08503548532381602,2026-06-09 16:36:17
8,0.022674083517596116,0.08027571701515829,2026-06-09 16:40:29
9,0.020622398863969528,0.07480632761265345,2026-06-09 16:44:47
10,0.016248212431898935,0.07951386117040077,2026-06-09 16:49:05
11,0.005330570348548497,0.045389596939862206,2026-06-09 16:53:21
12,0.0016859598775145525,0.04484571457689728,2026-06-09 16:57:46
13,0.0004788977977931017,0.04750117865315436,2026-06-09 17:02:30
14,0.004462715894892311,0.056955885427568215,2026-06-09 17:07:20
15,0.004193715448160823,0.06223128445695794,2026-06-09 17:11:25
16,0.002833220015475875,0.05091373984558029,2026-06-09 17:15:20
17,0.0021457294365897356,0.0609494986661553,2026-06-09 17:19:51
18,0.002655560865417304,0.056317741002127754,2026-06-09 17:23:56
19,0.002200184425338145,0.06055382444065395,2026-06-09 17:27:59
20,0.0028725547218539,0.06126351286904234,2026-06-09 17:31:54
21,0.0006902051344139507,0.058668834453303335,2026-06-09 17:35:57
22,0.00016175833011928043,0.05258589347907142,2026-06-09 17:39:52
